,NumDots,PathLevel,NumDash,NumDashInHostname,HostnameLength,NumSensitiveWords,PctExtHyperlinks,InsecureForms,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,IframeOrFrame,UrlLengthRT,AbnormalExtFormActionR,PctExtNullSelfRedirectHyperlinksRT
6252,1,3,5,0,10,0,0.1538461538,1,0.0153846154,0,0,0,0,1,1
4684,3,5,0,0,15,1,1.0,1,0.0,1,0,0,0,1,-1
1731,1,3,0,0,19,0,0.0,1,0.0,0,0,0,0,1,1
4742,3,4,0,0,10,0,0.0,1,0.0,1,0,0,0,0,1
4521,3,2,0,0,12,0,0.9230769231,1,0.0,1,0,0,1,1,-1
6340,1,2,6,0,10,0,0.2558139535,1,0.0465116279,0,0,0,0,1,1
576,1,2,0,0,12,0,0.0,1,0.0,0,0,0,1,1,1
5202,3,2,1,0,28,0,0.0625,1,0.0,0,1,1,0,1,1
6363,1,5,8,0,14,0,0.1282051282,1,0.0341880342,0,0,1,-1,1,1
439,2,5,0,0,9,0,0.0,1,1.0,0,0,0,0,1,-1
2750,2,6,2,0,23,0,0.0,1,0.0,0,0,0,-1,0,1
7487,3,6,6,0,22,0,0.075,1,0.0,0,1,1,-1,1,1
5272,1,5,8,0,15,0,0.2553191489,1,0.0,0,1,0,-1,1,1
5653,3,4,11,0,21,0,0.0333333333,1,0.1,0,0,0,-1,1,1
3999,4,4,0,0,33,0,0.9230769231,1,0.0,1,0,0,0,1,-1
6033,2,2,10,0,25,0,0.1774193548,1,0.0322580645,0,0,1,-1,1,1
582,4,4,1,0,21,0,0.0,1,1.0,0,0,0,0,1,-1
9930,2,5,2,0,14,0,0.1587301587,1,0.1111111111,0,0,0,0,1,1
7051,1,5,7,0,15,0,0.2111801242,1,0.0279503106,0,0,1,-1,0,1
8158,4,1,9,0,26,0,0.1291079812,0,0.0469483568,0,0,1,-1,1,1
9896,2,2,3,0,18,0,0.0080357143,1,0.0026785714,0,0,1,0,1,1
2249,2,1,0,0,18,0,0.9230769231,1,0.0,1,0,0,1,0,-1
4640,4,5,1,0,12,0,0.0,1,0.0,0,0,0,0,1,1
9485,3,2,0,0,21,0,0.1538461538,1,0.0,0,1,1,1,0,1
4947,2,2,2,1,16,0,0.0,1,0.9589041096,0,0,1,1,-1,-1
9920,2,3,2,0,16,0,0.01875,1,0.03125,0,0,1,1,1,1
1963,5,2,1,0,31,1,0.4716981132,1,0.0377358491,1,0,0,0,1,0
8243,1,4,5,0,52,0,0.1132075472,1,0.0,0,0,0,-1,1,1
6590,3,4,0,0,24,0,0.0131826742,1,0.0,0,0,1,-1,0,1
8847,2,1,0,0,17,0,0.2666666667,1,0.1,0,1,1,1,1,0
321,3,5,0,0,17,0,0.0,1,0.0,0,0,0,1,1,1
2678,3,1,0,0,16,1,0.0,1,0.0,0,0,0,1,1,1
4625,2,6,1,0,19,0,0.8461538462,1,0.0,1,0,1,-1,1,-1
4949,2,6,1,0,35,0,0.0,1,1.0,0,0,1,-1,1,-1
8328,2,0,1,1,28,0,0.1978417266,0,0.0,0,0,1,1,1,1
3337,2,9,15,0,16,0,0.0,1,0.0,0,0,0,-1,1,1
5589,3,8,2,0,28,0,0.0625,0,0.0,0,1,0,-1,1,1
251,2,2,1,0,14,0,0.0,1,0.0,0,0,0,-1,1,1
3973,2,5,1,0,14,0,0.0,1,0.0,0,0,0,1,1,1
6630,2,4,6,0,12,0,0.6666666667,0,0.0,0,0,0,-1,1,0
5547,2,3,0,0,20,0,1.0,0,0.0,1,0,0,0,1,-1
35,6,2,1,0,22,1,1.0,1,0.0,1,0,0,-1,1,-1
8362,2,3,1,0,15,0,0.1379310345,1,0.0,0,0,1,1,1,1
1513,2,5,1,0,20,0,0.0,1,0.0,0,0,0,0,1,1
9317,3,1,0,0,20,0,0.2037037037,0,0.0,0,0,1,0,1,1
39,3,2,2,2,24,0,0.0,1,0.0,1,0,0,1,1,1
4819,6,6,6,0,25,1,0.8181818182,1,0.0909090909,0,0,1,-1,1,-1
3465,3,3,0,0,26,0,0.9459459459,1,0.0135135135,1,0,1,0,0,-1
1760,3,3,1,1,19,0,0.0,1,0.0,1,0,0,1,1,1
2304,3,2,0,0,29,0,1.0,1,0.0,1,0,1,1,1,-1
3723,3,4,5,4,57,0,0.0555555556,1,0.9444444444,0,0,1,-1,1,-1
8284,1,2,5,0,10,0,0.1985294118,1,0.0808823529,0,1,1,1,1,1
4993,2,6,1,0,35,0,0.0,1,1.0,0,0,1,-1,1,-1
8127,1,2,0,0,22,0,0.0277777778,1,0.1222222222,0,0,0,-1,1,1
3032,3,3,0,0,24,0,0.1,1,0.7,0,0,0,1,1,-1
7938,2,2,7,0,25,0,0.7039007092,1,0.0106382979,1,1,1,-1,1,-1
3039,2,3,0,0,18,0,0.0,1,1.0,1,0,1,1,1,-1
9655,2,3,0,0,23,0,0.0434782609,1,0.0144927536,0,0,0,1,1,1
2545,3,3,0,0,16,0,0.0,1,0.0,0,0,0,0,1,1
2592,3,5,0,0,14,0,1.0,1,0.0,0,0,1,0,1,-1
1188,3,5,1,1,14,0,0.5,1,0.5,0,0,1,0,1,-1
7966,3,2,0,0,18,0,0.0579710145,1,0.0,0,0,1,-1,1,1
6077,2,3,0,0,10,0,0.1066666667,0,0.0,0,0,0,0,1,1
107,1,2,0,0,13,0,0.9333333333,1,0.0,1,0,0,1,1,-1
1315,4,4,1,0,26,0,1.0,1,0.0,1,0,1,0,0,-1
