,NumDots,PathLevel,NumDash,NumDashInHostname,HostnameLength,NumSensitiveWords,PctExtHyperlinks,InsecureForms,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,IframeOrFrame,UrlLengthRT,AbnormalExtFormActionR,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
9254,2,2,0,0,24,0,0.1481481481,1,0.1851851852,0,0,0,1,0,0,0
1561,3,3,0,0,13,0,0.0,1,0.0,1,0,0,1,1,1,1
1670,3,4,0,0,17,0,0.0,1,1.0,0,0,0,1,1,-1,1
6087,3,2,12,0,16,0,0.0347222222,1,0.0277777778,0,1,0,-1,1,1,0
6669,1,4,6,0,11,0,0.1276595745,0,0.0,0,0,0,-1,1,1,0
5933,3,4,2,0,23,0,0.0779220779,1,0.0,0,0,0,-1,1,1,0
8829,1,5,1,0,16,0,0.4426229508,1,0.0737704918,0,0,1,0,1,0,0
7945,2,3,0,0,23,0,0.6,0,0.0,0,0,1,0,1,0,0
3508,2,2,0,0,18,0,0.0,1,0.0,0,0,0,1,1,1,1
2002,2,3,0,0,15,0,0.0,1,0.0,1,0,0,1,1,1,1
5866,3,2,3,0,22,0,0.0,0,0.0,0,0,0,-1,1,1,0
168,4,3,0,0,31,0,0.0,1,0.0,0,0,0,0,1,1,1
2588,5,3,0,0,15,1,0.8181818182,1,0.0909090909,0,0,1,1,1,-1,1
5905,3,3,2,0,31,0,0.1156069364,1,0.0115606936,0,0,1,0,1,1,0
9529,3,3,0,0,16,0,0.0051813472,1,0.0207253886,0,0,0,1,-1,1,0
6384,1,2,2,0,18,0,0.2556053812,1,0.0,0,0,1,0,0,1,0
7824,3,6,0,0,18,0,0.0143149284,1,0.0102249489,0,1,0,0,1,1,0
9779,3,2,0,0,10,0,0.3333333333,0,0.0877192982,0,1,1,1,1,0,0
4629,2,2,0,0,22,0,0.0,1,0.0,0,0,0,1,1,1,1
8560,2,0,0,0,24,0,0.0,0,0.0,0,1,0,1,1,1,0
9291,2,3,3,0,17,0,0.1446540881,1,0.0566037736,0,0,0,0,1,1,0
6874,6,3,1,0,10,1,0.1666666667,1,0.0,0,0,0,-1,1,1,0
6521,1,4,23,0,13,0,0.1616766467,1,0.0,0,0,1,-1,1,1,0
8979,1,3,3,0,6,0,0.2748091603,1,0.0,0,1,1,0,0,1,0
6647,2,1,0,0,11,0,0.0080428954,1,0.0,0,0,0,0,1,1,0
9825,4,2,0,0,14,0,0.1014492754,0,0.0,0,0,1,0,1,1,0
210,1,3,0,0,21,0,1.0,1,0.0,0,0,0,1,1,-1,1
5278,1,4,3,0,26,1,0.0853658537,1,0.0203252033,0,0,1,0,0,1,0
1919,2,2,0,0,17,0,0.0,1,1.0,1,0,1,1,1,-1,1
718,3,3,0,0,19,0,0.9428571429,1,0.0571428571,1,0,1,0,-1,-1,1
4868,9,3,0,0,11,3,0.0,1,0.0,0,0,0,-1,1,1,1
7834,3,2,1,0,18,0,0.2173913043,1,0.0,0,0,0,-1,1,1,0
1298,2,5,0,0,18,0,0.9769585253,1,0.0,1,0,0,1,0,-1,1
9193,3,3,0,0,17,0,0.2857142857,1,0.0,0,0,1,0,0,1,0
4617,2,2,0,0,25,0,0.0,1,0.0,0,0,0,0,1,1,1
3128,2,5,1,0,29,0,0.0,1,1.0,1,0,1,-1,1,-1,1
9795,2,4,1,0,14,0,0.0403225806,1,0.0241935484,0,0,1,0,1,1,0
3979,3,4,0,0,14,0,0.0,1,0.0,0,0,0,0,1,1,1
9924,2,4,0,0,19,0,0.021978022,0,0.0,0,0,0,0,1,1,0
8317,2,1,3,0,16,0,0.0,0,0.0892857143,0,0,0,0,1,1,0
4393,3,2,1,0,17,0,0.0,1,1.0,0,0,0,1,1,-1,1
1287,2,1,1,1,18,1,1.0,1,0.0,1,0,0,1,1,-1,1
4355,6,6,0,0,32,0,0.0,1,0.0,1,0,0,-1,0,1,1
7013,3,1,0,0,27,0,0.0612244898,1,0.0,0,0,1,0,1,1,0
3885,2,2,0,0,8,0,0.0,1,0.0,0,0,0,1,1,1,1
5749,2,2,0,0,10,0,1.0,0,0.0,1,0,1,0,1,-1,0
9169,4,2,0,0,18,0,0.0185873606,1,0.0,0,0,0,1,1,1,0
2407,4,4,0,0,14,0,0.7857142857,1,0.2142857143,1,0,1,0,1,-1,1
2013,3,3,0,0,17,0,0.0,1,0.0,1,0,0,1,1,1,1
5153,2,3,10,0,13,0,0.1339285714,1,0.0625,0,0,0,-1,-1,1,0
8551,4,3,0,0,16,0,0.0344827586,0,0.0,0,0,0,0,1,1,0
4376,3,2,0,0,16,0,0.0,0,0.0,1,0,0,1,1,1,1
8822,1,1,0,0,12,0,0.0862068966,0,0.0,0,0,1,1,1,1,0
4273,3,4,1,1,24,0,1.0,1,0.0,1,0,1,0,1,-1,1
5825,1,4,1,0,18,0,0.0618556701,0,0.0,0,0,1,0,1,1,0
6699,1,2,4,1,21,0,0.0740740741,1,0.1296296296,0,0,1,0,-1,1,0
