,NumDots,PathLevel,NumDash,NumDashInHostname,HostnameLength,NumSensitiveWords,PctExtHyperlinks,InsecureForms,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,SubmitInfoToEmail,IframeOrFrame,UrlLengthRT,AbnormalExtFormActionR,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
8000,4,3,0,0,24,0,0.1610169492,1,0.0084745763,0,0,0,-1,-1,1,0
8001,2,3,3,1,13,0,0.0,0,0.0,0,0,0,0,1,1,0
8002,2,14,0,0,16,0,0.0172413793,1,0.0344827586,0,0,0,-1,1,1,0
8003,1,5,4,0,10,0,0.1346153846,1,0.1442307692,0,1,0,0,1,1,0
8004,1,5,3,0,21,0,0.2261904762,1,0.0119047619,0,0,0,0,0,1,0
8005,5,6,0,0,21,0,0.1,1,0.05,0,0,0,0,1,1,0
8006,3,1,7,1,27,0,0.032967033,1,0.0879120879,0,0,1,-1,1,1,0
8007,2,0,5,5,53,0,0.0100334448,1,0.0100334448,0,1,0,0,1,1,0
8008,1,3,9,0,19,0,0.0856031128,1,0.0038910506,0,0,1,-1,-1,1,0
8009,1,5,5,0,11,0,0.0643564356,1,0.004950495,0,0,0,0,1,1,0
8010,1,2,7,0,7,0,0.1338582677,1,0.0866141732,0,1,1,0,1,1,0
8011,1,2,6,0,8,0,0.1208053691,0,0.0201342282,0,1,0,0,1,1,0
8012,1,3,7,0,11,0,0.3728813559,1,0.1016949153,0,0,0,0,1,0,0
8013,1,2,7,0,8,0,0.1568627451,0,0.0294117647,0,1,0,-1,1,1,0
8014,2,4,4,0,14,0,0.0934065934,0,0.0054945055,0,0,0,0,1,1,0
8015,1,5,5,0,18,0,0.1935483871,1,0.064516129,0,0,0,0,1,1,0
8016,1,5,3,0,17,0,0.2195121951,1,0.0243902439,0,0,0,0,1,1,0
8017,1,2,12,0,8,0,0.243902439,0,0.0243902439,0,1,0,-1,1,1,0
8018,2,3,13,0,12,0,0.13125,1,0.00625,0,0,1,-1,1,1,0
