,CLASS_LABEL
7054,0
442,1
3954,1
2288,1
3196,1
6178,0
8351,0
5658,0
2065,1
413,1
8594,0
1805,1
3631,1
837,1
9322,0
4186,1
6568,0
5401,0
8467,0
1995,1
5153,0
4921,1
7755,0
5492,0
2593,1
1745,1
7398,0
8046,0
3830,1
4871,1
2097,1
4872,1
5433,0
8711,0
1810,1
1091,1
7478,0
6990,0
2828,1
2200,1
3346,1
7047,0
8899,0
157,1
6984,0
1242,1
101,1
4254,1
4882,1
8203,0
9369,0
9107,0
7475,0
9364,0
7965,0
6185,0
964,1
3666,1
2803,1
9703,0
3685,1
7315,0
2687,1
7449,0
2231,1
4429,1
7341,0
1521,1
3178,1
6740,0
608,1
7497,0
8847,0
5728,0
9428,0
9215,0
2420,1
9522,0
4646,1
2049,1
6708,0
5349,0
3869,1
1239,1
5411,0
7282,0
8926,0
3357,1
4786,1
2467,1
227,1
4099,1
1313,1
3158,1
4016,1
3370,1
6166,0
4653,1
5759,0
425,1
577,1
125,1
6626,0
9576,0
8815,0
69,1
6315,0
3833,1
8822,0
6049,0
960,1
9902,0
8300,0
9206,0
9638,0
1431,1
5660,0
9009,0
2228,1
7700,0
3923,1
1252,1
6087,0
5266,0
1104,1
4671,1
1499,1
6026,0
5676,0
9293,0
2454,1
4326,1
5117,0
5781,0
999,1
7217,0
9809,0
8896,0
4975,1
2451,1
931,1
5373,0
8543,0
9825,0
1977,1
4070,1
9468,0
2308,1
4411,1
761,1
3521,1
5661,0
6700,0
5076,0
1616,1
6857,0
177,1
4267,1
1901,1
542,1
2846,1
2649,1
6809,0
3262,1
2032,1
6610,0
8757,0
1244,1
7014,0
5508,0
4227,1
4452,1
5832,0
7699,0
8362,0
9497,0
3071,1
1961,1
3532,1
7558,0
9836,0
5066,0
1469,1
5912,0
5605,0
8705,0
2016,1
5986,0
2694,1
1827,1
6977,0
3936,1
3303,1
9053,0
1309,1
5546,0
8270,0
1037,1
1160,1
901,1
1650,1
8456,0
7164,0
8894,0
1350,1
7886,0
3430,1
4249,1
6063,0
3483,1
8451,0
6156,0
2434,1
628,1
7900,0
6892,0
2725,1
6791,0
1868,1
6031,0
7329,0
313,1
1210,1
9730,0
8526,0
9531,0
4853,1
743,1
7718,0
826,1
1934,1
5672,0
8778,0
2991,1
6502,0
4523,1
6048,0
5080,0
7877,0
3062,1
4599,1
1009,1
4807,1
2987,1
1496,1
6751,0
6470,0
3801,1
4096,1
5760,0
6268,0
8149,0
8208,0
9137,0
4986,1
169,1
3737,1
2893,1
8073,0
1143,1
6797,0
4964,1
2935,1
1994,1
6134,0
2457,1
611,1
8206,0
5561,0
9388,0
3463,1
3386,1
4292,1
7251,0
5192,0
5008,0
1170,1
4206,1
3288,1
5940,0
9667,0
8683,0
5952,0
4693,1
9061,0
1627,1
295,1
1502,1
9746,0
1749,1
5730,0
7984,0
3429,1
7150,0
1660,1
309,1
2255,1
2719,1
6517,0
5692,0
896,1
4247,1
6434,0
8096,0
4899,1
966,1
5168,0
8555,0
2433,1
4172,1
7038,0
2213,1
6972,0
9464,0
5088,0
958,1
6308,0
3325,1
7377,0
797,1
8032,0
4751,1
7239,0
5185,0
3942,1
3097,1
6760,0
3092,1
6778,0
7796,0
1633,1
667,1
6836,0
3725,1
9288,0
9903,0
5384,0
4170,1
1891,1
4330,1
9597,0
5563,0
8240,0
1174,1
8025,0
2651,1
4144,1
7493,0
1460,1
7472,0
2043,1
8128,0
5403,0
8449,0
3803,1
7626,0
4335,1
6896,0
9511,0
9832,0
7690,0
6781,0
5977,0
8118,0
5887,0
1953,1
7989,0
1582,1
1537,1
5090,0
4360,1
3805,1
2120,1
4803,1
2344,1
4481,1
2292,1
3789,1
4313,1
6496,0
7821,0
5473,0
3026,1
8629,0
9813,0
8011,0
3077,1
4499,1
9963,0
5149,0
1114,1
563,1
3000,1
9696,0
4415,1
6657,0
8867,0
578,1
2598,1
7652,0
8189,0
8663,0
9012,0
1897,1
4840,1
833,1
7005,0
6376,0
7803,0
2866,1
8803,0
1089,1
5332,0
5003,0
6742,0
4367,1
8500,0
4211,1
8026,0
1112,1
4657,1
73,1
1444,1
7349,0
7879,0
5496,0
5282,0
242,1
9764,0
3494,1
9698,0
601,1
6009,0
6284,0
8780,0
2613,1
8427,0
6823,0
3651,1
7855,0
5276,0
4976,1
9760,0
7745,0
2670,1
2321,1
580,1
6955,0
5150,0
5907,0
6255,0
6516,0
6483,0
153,1
9952,0
881,1
5552,0
1843,1
4268,1
8010,0
2956,1
9690,0
7832,0
8879,0
3434,1
376,1
6389,0
3768,1
1119,1
3455,1
2190,1
3836,1
5609,0
8909,0
6330,0
3808,1
8523,0
4255,1
9584,0
1383,1
4655,1
8603,0
6487,0
6441,0
5538,0
3544,1
6815,0
2465,1
4287,1
4707,1
5252,0
9697,0
4948,1
1301,1
1837,1
1790,1
8876,0
2743,1
4973,1
3741,1
2663,1
8001,0
6416,0
5974,0
329,1
491,1
5837,0
1709,1
2597,1
6672,0
9476,0
179,1
5750,0
6136,0
6090,0
6020,0
3628,1
9098,0
3024,1
6645,0
9447,0
6773,0
5749,0
5480,0
9581,0
1377,1
6768,0
5428,0
1406,1
6556,0
922,1
1011,1
189,1
3938,1
8506,0
6604,0
3400,1
3817,1
6095,0
6817,0
3609,1
7610,0
5737,0
5817,0
8509,0
7206,0
3431,1
2574,1
7710,0
424,1
8761,0
2946,1
2019,1
2992,1
3304,1
6743,0
9946,0
2376,1
5429,0
2191,1
7521,0
2684,1
3396,1
6476,0
9806,0
8766,0
365,1
2282,1
9670,0
9441,0
5278,0
3498,1
4315,1
2373,1
1126,1
1752,1
2088,1
5961,0
5279,0
9811,0
6286,0
280,1
8384,0
517,1
4649,1
6461,0
5853,0
7060,0
2969,1
6498,0
9132,0
